game,rl_player,rl_team,winner,turns,capped,score_a,score_b,total_reward,avg_reward_recent,win_rate_recent,policy_loss,entropy,avg_selected_action_prob,grad_norm,weight_delta_norm,learning_rate,epsilon,temperature,decisions,explored_actions,sampled_actions,greedy_actions,checkpoint_path,eval_win_rate,eval_avg_reward,warning
828,3,B,A,189,False,8,3,-522.0671875,-148.47347656250003,0.36,-3.892718553543091,0.6438730359077454,0.6197794772190384,18.896257959428052,0.00018516227768142356,1e-05,0.1,1.0,19,1,18,0,,,,
829,0,A,B,359,False,3,8,-557.990625,-159.17083593750002,0.35,-14.675347328186035,0.6601309776306152,0.6175584721535085,47.95579200761235,0.0001919619038595622,1e-05,0.1,1.0,44,6,38,0,,,,
830,1,B,A,322,False,8,6,-519.37890625,-169.48923437500002,0.34,7.537373065948486,0.6994581818580627,0.5958116804471328,22.818509042029056,0.00017491402240593545,1e-05,0.1,1.0,42,4,38,0,,,,
831,2,A,A,277,False,8,5,531.321875,-169.01278125000002,0.34,-9.554353713989258,0.4472992420196533,0.7086000021434822,77.26456379923498,0.00017672934162028957,1e-05,0.1,1.0,35,4,31,0,,,,
832,3,B,A,394,False,8,5,-537.9875,-169.13658593750003,0.34,-39.63125228881836,0.55705726146698,0.6163064873603785,97.29883359769548,0.00019169934958901955,1e-05,0.1,1.0,54,6,48,0,,,,
833,0,A,A,383,False,8,6,503.5078125,-169.1386796875,0.34,-10.774447441101074,0.49596279859542847,0.6751480391657573,62.591843071718245,0.00020425059791776394,1e-05,0.1,1.0,51,7,44,0,,,,
834,1,B,A,326,False,8,7,-486.43671875,-179.24654687499998,0.33,27.247798919677734,0.44179674983024597,0.6823150715099736,74.83053338044142,0.0002776307413078576,1e-05,0.1,1.0,44,5,39,0,,,,
835,2,A,A,322,False,8,6,490.79062500000003,-169.07178906249996,0.34,11.75558853149414,0.6300198435783386,0.6363597547871251,46.031273620915854,0.0002809021176603626,1e-05,0.1,1.0,39,5,34,0,,,,
836,3,B,A,349,False,8,6,-516.9625,-169.20433593750005,0.34,1.5976028442382812,0.7249102592468262,0.5722129837445477,42.078528356728256,0.0002830350997055717,1e-05,0.1,1.0,51,2,49,0,,,,
837,0,A,B,348,False,5,8,-524.7625,-169.14758593750005,0.34,-16.440410614013672,0.6075582504272461,0.6210627484297816,27.714326358049497,0.0002627041862438485,1e-05,0.1,1.0,38,5,33,0,,,,
838,1,B,A,384,False,8,6,-520.48828125,-169.4431484375,0.34,35.15560531616211,0.3187655210494995,0.7209144828468927,73.27729869310714,0.00024751413063209976,1e-05,0.1,1.0,42,5,37,0,,,,
839,2,A,A,296,False,8,7,526.2546875,-169.4048515625,0.34,30.001840591430664,0.2670753002166748,0.7682211195645642,69.3023260928872,0.00025953575505445947,1e-05,0.1,1.0,40,6,34,0,,,,
840,3,B,B,312,False,5,8,508.5828125,-159.183625,0.35,-6.646905422210693,0.4377813935279846,0.7438009784867367,40.415637572483554,0.0002345257959773842,1e-05,0.1,1.0,42,4,38,0,,,,
841,0,A,B,317,False,6,8,-522.1703125,-159.5352734375,0.35,14.210293769836426,0.5708186030387878,0.653002447309203,48.71396563052644,0.00023441707475368878,1e-05,0.1,1.0,44,2,42,0,,,,
842,1,B,B,267,False,7,8,511.94687500000003,-149.2841328125,0.36,1.908388376235962,0.4856031835079193,0.6594699172037617,93.9010936249146,0.00029083037449929605,1e-05,0.1,1.0,35,5,30,0,,,,
843,2,A,B,280,False,7,8,-491.290625,-159.00324218749998,0.35,-43.13535690307617,0.27622631192207336,0.7229810708063654,91.00366700589827,0.00027704043643891766,1e-05,0.1,1.0,35,4,31,0,,,,
844,3,B,B,187,False,3,8,529.05625,-158.8595546875,0.35,40.489444732666016,0.5454729199409485,0.6358904574213358,76.32098186667824,0.0002938279299624039,1e-05,0.1,1.0,26,3,23,0,,,,
845,0,A,B,380,False,4,8,-567.303125,-159.50422656249998,0.35,-4.17455530166626,0.4857579469680786,0.6930702741644005,21.693190681233368,0.00026960276282392504,1e-05,0.1,1.0,41,3,38,0,,,,
846,1,B,B,458,False,7,8,498.3828125,-149.26878125,0.36,4.293761253356934,0.5331621766090393,0.667126764892692,37.32831676847709,0.00025313966596647374,1e-05,0.1,1.0,55,4,51,0,,,,
